player_id,player,season,competition,position,goals_total,goals_per90,penalty_goals_total,shots_total,shots_per90,shots_on_target_total,shots_on_target_per90,assists_total,assists_per90,accurate_passes_total,accurate_passes_per90,pass_accuracy_total,pass_accuracy_per90,duels_won_total,duels_won_per90,duels_won_pct_total,duels_won_pct_per90,aerials_won_total,aerials_won_per90,aerials_won_pct_total,aerials_won_pct_per90,touches_total,touches_per90,touches_in_opposition_box_total,touches_in_opposition_box_per90,fouls_won_total,fouls_won_per90,defensive_actions_total,defensive_actions_per90,blocked_scoring_attempt_total,blocked_scoring_attempt_per90,fouls_committed_total,fouls_committed_per90,recoveries_total,recoveries_per90,dribbled_past_total,dribbled_past_per90,clean_sheets_total,clean_sheets_per90,goals_conceded_while_on_pitch_total,goals_conceded_while_on_pitch_per90,yellow_cards_total,red_cards_total
942365,Troy Parrott,2020/2021,FA Cup,Striker,0,0.0,,8,5.0,1,0.62,0,0.0,39,24.38,83.0,82.98,5,3.12,17.9,17.86,,,,,86,53.75,10,6.25,1,0.62,2,1.25,,,6,3.75,5,3.12,3.0,1.88,0,0.0,2,1.25,0,0
942365,Troy Parrott,2020/2021,League One,Striker,2,0.16,,24,1.9,7,0.55,0,0.0,246,19.44,73.0,73.0,66,5.22,36.1,36.07,11.0,0.87,24.4,24.44,603,47.65,42,3.32,33,2.61,29,2.29,1.0,0.08,21,1.66,46,3.63,9.0,0.71,3,0.24,9,0.71,0,0
942365,Troy Parrott,2020/2021,Championship,Striker,0,0.0,,15,2.24,3,0.45,0,0.0,123,18.33,75.0,75.0,31,4.62,35.2,35.23,8.0,1.19,28.6,28.57,280,41.72,17,2.53,8,1.19,11,1.64,2.0,0.3,10,1.49,23,3.43,7.0,1.04,0,0.0,11,1.64,0,0
942365,Troy Parrott,2021/2022,League One,Striker,8,0.24,1.0,88,2.64,37,1.11,6,0.18,931,27.96,78.0,78.04,158,4.74,42.0,42.02,21.0,0.63,33.3,33.33,1829,54.92,157,4.71,68,2.04,69,2.07,2.0,0.06,33,0.99,143,4.29,20.0,0.6,10,0.3,28,0.84,2,0
942365,Troy Parrott,2022/2023,Championship,Striker,3,0.14,1.0,48,2.2,17,0.78,0,0.0,419,19.2,74.2,74.16,135,6.19,43.4,43.41,38.0,1.74,37.6,37.62,963,44.13,100,4.58,45,2.06,45,2.06,2.0,0.09,27,1.24,96,4.4,10.0,0.46,3,0.14,21,0.96,2,0
942365,Troy Parrott,2023/2024,Eredivisie Qualification,Striker,7,1.85,3.0,15,3.97,12,3.18,1,0.26,56,14.82,82.4,82.35,10,2.65,32.3,32.26,3.0,0.79,33.3,33.33,126,33.35,27,7.15,4,1.06,7,1.85,1.0,0.26,1,0.26,5,1.32,,,0,0.0,8,2.12,0,0
942365,Troy Parrott,2023/2024,Eredivisie,Striker,10,0.57,,53,3.01,23,1.31,4,0.23,208,11.8,69.6,69.57,81,4.6,46.3,46.29,32.0,1.82,37.6,37.65,567,32.18,97,5.5,28,1.59,26,1.48,3.0,0.17,7,0.4,54,3.06,3.0,0.17,1,0.06,39,2.21,2,1
942365,Troy Parrott,2024/2025,Europa League,Striker,4,0.42,2.0,22,2.31,9,0.94,1,0.1,155,16.26,70.5,70.45,53,5.56,39.8,39.85,16.0,1.68,32.7,32.65,374,39.23,48,5.03,21,2.2,13,1.36,,,13,1.36,42,4.41,7.0,0.73,0,0.0,14,1.47,1,0
942365,Troy Parrott,2024/2025,KNVB Cup,Striker,2,0.5,2.0,12,3.0,6,1.5,1,0.25,53,13.25,73.6,73.61,20,5.0,43.5,43.48,10.0,2.5,50.0,50.0,137,34.25,39,9.75,5,1.25,7,1.75,,,3,0.75,6,1.5,1.0,0.25,0,0.0,3,0.75,0,0
942365,Troy Parrott,2024/2025,Eredivisie,Striker,14,0.58,2.0,68,2.79,33,1.36,2,0.08,343,14.09,71.6,71.61,97,3.98,44.1,44.09,37.0,1.52,39.8,39.78,810,33.27,153,6.28,31,1.27,42,1.73,1.0,0.04,19,0.78,60,2.46,11.0,0.45,1,0.04,26,1.07,0,0
942365,Troy Parrott,2025/2026,Conference League,Striker,3,0.35,,28,3.25,9,1.05,1,0.12,128,14.86,75.3,75.29,20,2.32,31.2,31.25,7.0,0.81,38.9,38.89,266,30.89,57,6.62,6,0.7,9,1.05,,,8,0.93,16,1.86,5.0,0.58,3,0.35,6,0.7,1,0
942365,Troy Parrott,2025/2026,Conference League Qualification qualification,Striker,7,2.02,1.0,18,5.19,12,3.46,1,0.29,64,18.46,68.1,68.09,13,3.75,52.0,52.0,,,,,141,40.67,37,10.67,5,1.44,5,1.44,,,1,0.29,6,1.73,,,1,0.29,4,1.15,2,0
942365,Troy Parrott,2025/2026,KNVB Cup,Striker,5,0.94,,14,2.62,8,1.5,4,0.75,79,14.81,65.8,65.83,30,5.62,42.3,42.25,18.0,3.38,43.9,43.9,234,43.88,40,7.5,3,0.56,22,4.12,5.0,0.94,1,0.19,13,2.44,1.0,0.19,1,0.19,4,0.75,2,0
942365,Troy Parrott,2025/2026,Eredivisie,Striker,16,0.65,2.0,88,3.59,43,1.75,4,0.16,399,16.28,75.6,75.57,113,4.61,43.3,43.3,44.0,1.8,36.7,36.67,887,36.19,153,6.24,31,1.26,49,2.0,2.0,0.08,18,0.73,60,2.45,15.0,0.61,1,0.04,37,1.51,3,0
942365,Troy Parrott,2026/2027,LaLiga,Striker,1,0.92,,4,3.67,1,0.92,0,0.0,16,14.69,80.0,80.0,5,4.59,45.5,45.45,,,,,43,39.49,11,10.1,1,0.92,7,6.43,,,1,0.92,4,3.67,,,0,0.0,3,2.76,0,0
